"Waddington Avenue, Great Barr, Birmingham",Semi-Detached,52.544395,-1.940354,5,5,
"Suttons Drive, Great Barr, B43",Land,52.559566,-1.927841,,,
"Land at Mary Vale Road/Franklin Way, Bournville, Birmingham, B30 2HP",,52.42634,-1.93486,,,
"MIXED USE SITE WITH PLANNING FOR CONVERSION 47 APARTMENTS, Erdington, Birmingham, B23",,52.52244,-1.84093,,,
"Bearwood Parade, Bearwood High Street, West Midlands",Studio,52.4731,-1.96904,,,
"Wellington Road, Edgbaston",Detached,52.462935,-1.909706,6,6,
"Kings Close, Kings Norton, Birmingham, West Midlands, B30",House,52.40808,-1.92499,,,
"Bournbrook Road, Selly Oak, Birmingham, B29 7BU",House,52.44333,-1.92757,16,16,
"Heeley Road, Birmingham",House,52.439765,-1.932093,20,20,
"Handsworth Wood Road, Handsworth Wood, Birmingham, B20 2DH",,52.516373,-1.925288,19,19,
"Harborne Road, Edgbaston",Semi-Detached,52.469913,-1.92736,6,6,"4,265 sq. ft."
"Almshouses, 1-10 Church Road, Erdington, Birmingham B24",,52.520611,-1.835519,,,"2,442 sq. ft."
"Orchard House, Truemans Heath Lane",Detached,52.39266,-1.86741,5,5,
"Hagley Road, Edgbaston, Birmingham, B17 8BJ",Detached,52.472496,-1.966464,10,10,
"Wellington Road, Edgbaston",Detached,52.46444,-1.90561,4,4,"3,432 sq. ft."
"Woodbourne Road, Harborne, Birmingham, B17 8DD",Detached,52.470814,-1.957063,7,7,
"Pebble Mill Road, Edgbaston",Detached,52.452486,-1.91311,6,6,
"Hagley Road West, Harborne, Birmingham, B17 8AL",Detached,52.471294,-1.969748,7,7,
"St. Martin''s Place, Birmingham, B15 1DT",Apartment,52.473548,-1.916461,7,7,
"Concord House, Marshall Street, B1 1LR",Penthouse,52.473951,-1.903683,3,3,
"Euan Close, Harborne, Birmingham, B17",Detached,52.469909,-1.955971,5,5,
"Wake Green Road, Birmingham, West Midlands",Detached,52.435201,-1.856947,4,4,
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15",Penthouse,52.46779,-1.943654,3,3,
"Hagley Road, Edgbaston, Birmingham, West Midlands, B17 8BJ",Detached,52.472771,-1.966707,6,6,
"Wake Green Road, Moseley, Birmingham, B13",Detached,52.44328,-1.876944,6,6,
"George Road, Great Barr, Birmingham",Semi-Detached,52.549098,-1.93209,3,3,
"Lordswood Road, Birmingham, B17",Detached,52.471343,-1.96848,6,6,
"Moorland Road, Edgbaston",Detached,52.47452,-1.946496,6,6,
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15",Detached,52.46779,-1.943654,4,4,
"Priory Road, Birmingham, B5",Detached,52.45635,-1.91151,5,5,"2,685 sq. ft."
"Hagley Road West, Birmingham, B17",Detached,52.46987,-1.97184,5,5,
"Gilmorton Close, Harborne, Birmingham, B17 8QR",Detached,52.464108,-1.962187,4,4,
"St Pauls House, 21 - 23 St. Pauls Square, Jewellery Quarter",Penthouse,52.48574,-1.90483,3,3,"1,985 sq. ft."
Water Street,Penthouse,52.4852,-1.90291,3,3,"2,310 sq. ft."
"1 - 4 Great Hampton Street, Birmingham, B18 6AQ",Apartment,52.48907,-1.90747,4,4,"2,300 sq. ft."
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15",Apartment,52.46779,-1.943654,2,2,
"Hamstead Hill, Handsworth Wood, Birmingham, B20 1BN",Detached,52.522282,-1.930642,4,4,
"St Agnes Road, Moseley, Birmingham, B13",Detached,52.439031,-1.873135,5,5,
"3 Retail Investments- High Street - £97,500 Rent, Erdington, Birmingham, B23",,52.522501,-1.840865,,,
"Wake Green Road, Birmingham B13 9PG",Detached,52.442101,-1.87635,8,8,
"Wake Green Road, Moseley",Detached,52.442821,-1.8746,8,8,
19 Serpentine Road,Detached,52.44413,-1.92551,5,5,"2,859 sq. ft."
"Knightlow Road , Harborne",Detached,52.468422,-1.964107,4,4,
"Wythall, Birmingham",Detached,52.369244,-1.876585,4,4,
"School Road, Moseley, Birmingham, West Midlands, B13",Semi-Detached,52.441562,-1.885822,6,6,
"Viceroy House, Water Street, Birmingham",Apartment,52.4852,-1.90291,2,2,
"Groveley Hall, Birmingham Road, Birmingham, B31 4UH",Detached,52.386837,-1.960108,4,4,
"Moorcroft Road, Birmingham, West Midlands, B13",Detached,52.44726,-1.89755,4,4,
Pershore Road,House of Multiple Occupation,52.43829,-1.91611,18,18,
"Irving Street, Birmingham, B1",Studio,52.4728,-1.90176,,,
"B15 Birmingham Apartments, Birmingham",Apartment,52.46848,-1.90221,1,1,
"Aston Bury, Edgbaston",Detached,52.467464,-1.942783,5,5,
"Serpentine Road, Selly Park, Birmingham",Detached,52.443591,-1.923805,5,5,"2,606 sq. ft."
"Pershore Road, Edgbaston B5",Detached,52.45213,-1.91005,6,6,"3,714 sq. ft."
"Westfield Road, Edgbaston, Birmingham",Detached,52.4704,-1.94946,5,5,"1,901 sq. ft."
Water Street,Penthouse,52.4852,-1.90291,3,3,"1,925 sq. ft."
"Sardon House, Edgbaston",Link Detached House,52.462546,-1.904249,4,4,"1,206 sq. ft."
"Yardley Wood Road, Moseley, Bimingham, B13",Detached,52.441106,-1.872142,5,5,
"Coppice Road, Birmingham",House,52.448364,-1.879794,7,7,
"Tanners Green Lane, Wythall, Birmingham, Worcestershire, B47",Detached,52.368896,-1.877422,4,4,"2,840 sq. ft."
"Gravelly Hill, Erdington",Block of Apartments,52.511101,-1.853893,10,10,
"Bournbrook Road, Selly Oak, Birmingham, B29 7BU",House,52.44333,-1.92757,8,8,
"Bournbrook Road, Selly Oak, Birmingham, B29 7BU",House,52.44333,-1.92757,8,8,
"Englestede Close, Birmingham, B20 1BJ",Detached,52.520752,-1.928287,4,4,
"Fitz Roy Avenue, Birmingham",House,52.464756,-1.978169,4,4,
"Moorland Road, Edgbaston, Birmingham",Link Detached House,52.47444,-1.94666,6,6,"3,400 sq. ft."
"Frederick Road, Edgbaston",Semi-Detached,52.469325,-1.917844,3,3,
"Ryland Road, Edgbaston",Town House,52.467426,-1.908767,5,5,
16 Wellington Road,Semi-Detached,52.464613,-1.905072,4,4,"2,282 sq. ft."
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15",Apartment,52.46779,-1.943654,3,3,
"Cambridge Road, Moseley, Birmingham, B13",Semi-Detached,52.437048,-1.885832,4,4,
